[mkg-runner] GPU grid lookup; CPU threads=2; decoder=weighted; SoftMS skipped internally
[MKG-ablation:decoder_weighted] epoch=017/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=2.018580 train_mle=3.785m best=2.018580 bad=0/8
[MKG-ablation:decoder_weighted] epoch=018/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.971576 train_mle=3.737m best=1.971576 bad=0/8
[MKG-ablation:decoder_weighted] epoch=019/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.889397 train_mle=3.621m best=1.889397 bad=0/8
[MKG-ablation:decoder_weighted] epoch=020/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.796461 train_mle=3.508m best=1.796461 bad=0/8
[MKG-ablation:decoder_weighted] epoch=021/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.715421 train_mle=3.386m best=1.715421 bad=0/8
[MKG-ablation:decoder_weighted] epoch=022/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.608742 train_mle=3.226m best=1.608742 bad=0/8
[MKG-ablation:decoder_weighted] epoch=023/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.566282 train_mle=3.172m best=1.566282 bad=0/8
[MKG-ablation:decoder_weighted] epoch=024/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.557353 train_mle=3.128m best=1.557353 bad=0/8
[MKG-ablation:decoder_weighted] epoch=025/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.566428 train_mle=3.123m best=1.557353 bad=1/8
[MKG-ablation:decoder_weighted] epoch=026/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.386838 train_mle=2.839m best=1.386838 bad=0/8
[MKG-ablation:decoder_weighted] epoch=027/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.450134 train_mle=2.974m best=1.386838 bad=1/8
[MKG-ablation:decoder_weighted] epoch=028/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.368000 train_mle=2.870m best=1.368000 bad=0/8
[MKG-ablation:decoder_weighted] epoch=029/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.211197 train_mle=2.609m best=1.211197 bad=0/8
[MKG-ablation:decoder_weighted] epoch=030/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.379499 train_mle=2.889m best=1.211197 bad=1/8
[MKG-ablation:decoder_weighted] epoch=031/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.185619 train_mle=2.571m best=1.185619 bad=0/8
[MKG-ablation:decoder_weighted] epoch=032/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.151182 train_mle=2.511m best=1.151182 bad=0/8
[MKG-ablation:decoder_weighted] epoch=033/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.141754 train_mle=2.504m best=1.141754 bad=0/8
[MKG-ablation:decoder_weighted] epoch=034/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.049298 train_mle=2.339m best=1.049298 bad=0/8
[MKG-ablation:decoder_weighted] epoch=035/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.998924 train_mle=2.262m best=0.998924 bad=0/8
[MKG-ablation:decoder_weighted] epoch=036/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.926751 train_mle=2.144m best=0.926751 bad=0/8
[MKG-ablation:decoder_weighted] epoch=037/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=1.085112 train_mle=2.413m best=0.926751 bad=1/8
[MKG-ablation:decoder_weighted] epoch=038/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.859794 train_mle=2.026m best=0.859794 bad=0/8
[MKG-ablation:decoder_weighted] epoch=039/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.840289 train_mle=1.995m best=0.840289 bad=0/8
[MKG-ablation:decoder_weighted] epoch=040/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.871455 train_mle=2.065m best=0.840289 bad=1/8
[MKG-ablation:decoder_weighted] epoch=041/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.766938 train_mle=1.877m best=0.766938 bad=0/8
[MKG-ablation:decoder_weighted] epoch=042/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.957956 train_mle=2.199m best=0.766938 bad=1/8
[MKG-ablation:decoder_weighted] epoch=043/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.733856 train_mle=1.825m best=0.733856 bad=0/8
[MKG-ablation:decoder_weighted] epoch=044/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.665346 train_mle=1.683m best=0.665346 bad=0/8
[MKG-ablation:decoder_weighted] epoch=045/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.632217 train_mle=1.639m best=0.632217 bad=0/8
[MKG-ablation:decoder_weighted] epoch=046/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.605867 train_mle=1.572m best=0.605867 bad=0/8
[MKG-ablation:decoder_weighted] epoch=047/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.697133 train_mle=1.738m best=0.605867 bad=1/8
[MKG-ablation:decoder_weighted] epoch=048/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.753566 train_mle=1.842m best=0.605867 bad=2/8
[MKG-ablation:decoder_weighted] epoch=049/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.656003 train_mle=1.687m best=0.605867 bad=3/8
[MKG-ablation:decoder_weighted] epoch=050/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.542243 train_mle=1.474m best=0.542243 bad=0/8
[MKG-ablation:decoder_weighted] epoch=051/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.574618 train_mle=1.529m best=0.542243 bad=1/8
[MKG-ablation:decoder_weighted] epoch=052/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.681368 train_mle=1.660m best=0.542243 bad=2/8
[MKG-ablation:decoder_weighted] epoch=053/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.660851 train_mle=1.675m best=0.542243 bad=3/8
[MKG-ablation:decoder_weighted] epoch=054/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.588455 train_mle=1.547m best=0.542243 bad=4/8
[MKG-ablation:decoder_weighted] epoch=055/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.502311 train_mle=1.395m best=0.502311 bad=0/8
[MKG-ablation:decoder_weighted] epoch=056/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.480785 train_mle=1.351m best=0.480785 bad=0/8
[MKG-ablation:decoder_weighted] epoch=057/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.412807 train_mle=1.224m best=0.412807 bad=0/8
[MKG-ablation:decoder_weighted] epoch=058/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.411621 train_mle=1.219m best=0.411621 bad=0/8
[MKG-ablation:decoder_weighted] epoch=059/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.455001 train_mle=1.297m best=0.411621 bad=1/8
[MKG-ablation:decoder_weighted] epoch=060/60 pipeline=MKG grid=6x6 decoder=weighted gru=full train_loss=0.471161 train_mle=1.337m best=0.411621 bad=2/8
{"MLE_m": 5.419884509048705, "MedLE_m": 4.424151402920284, "P90_m": 10.669232927147604, "P95_m": 13.543123802618453, "P99_m": 18.421426948913126, "CVaR90_m": 14.140411256261517, "LSR@5_pct": 55.931458699472756, "LSR@10_pct": 86.8189806678383, "LSR@15_pct": 96.66080843585237, "LSR@20_pct": 99.95606326889279, "Route": "route_B", "VisualMLE_m": 5.695715575423636, "Latency_ms_per_frame": 2.769232925742065, "FPS": 361.11082989959476, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/decoder_weighted/jitter_0m/route_B_frames.csv"}
{"MLE_m": 5.391609813227283, "MedLE_m": 3.9695298785776645, "P90_m": 11.812956252655814, "P95_m": 15.177528753499228, "P99_m": 17.17970348755168, "CVaR90_m": 15.10782494777983, "LSR@5_pct": 61.04928457869634, "LSR@10_pct": 85.21462639109699, "LSR@15_pct": 94.4356120826709, "LSR@20_pct": 99.84101748807632, "Route": "route_C", "VisualMLE_m": 5.500401233628229, "Latency_ms_per_frame": 2.8189529738000654, "FPS": 354.7416396421678, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/decoder_weighted/jitter_0m/route_C_frames.csv"}
