[mkg-runner] GPU grid lookup; CPU threads=2; decoder=top1; SoftMS skipped internally
[MKG-ablation:decoder_top1] epoch=013/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.858408 train_mle=8.193m best=4.850054 bad=1/8
[MKG-ablation:decoder_top1] epoch=014/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.814069 train_mle=8.122m best=4.814069 bad=0/8
[MKG-ablation:decoder_top1] epoch=015/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.764209 train_mle=8.055m best=4.764209 bad=0/8
[MKG-ablation:decoder_top1] epoch=016/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.766723 train_mle=8.055m best=4.764209 bad=1/8
[MKG-ablation:decoder_top1] epoch=017/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.735034 train_mle=8.020m best=4.735034 bad=0/8
[MKG-ablation:decoder_top1] epoch=018/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.729330 train_mle=7.995m best=4.729330 bad=0/8
[MKG-ablation:decoder_top1] epoch=019/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.450149 train_mle=7.584m best=4.450149 bad=0/8
[MKG-ablation:decoder_top1] epoch=020/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.384228 train_mle=7.506m best=4.384228 bad=0/8
[MKG-ablation:decoder_top1] epoch=021/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.158823 train_mle=7.178m best=4.158823 bad=0/8
[MKG-ablation:decoder_top1] epoch=022/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=4.010981 train_mle=6.969m best=4.010981 bad=0/8
[MKG-ablation:decoder_top1] epoch=023/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.905928 train_mle=6.835m best=3.905928 bad=0/8
[MKG-ablation:decoder_top1] epoch=024/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.827898 train_mle=6.709m best=3.827898 bad=0/8
[MKG-ablation:decoder_top1] epoch=025/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.715663 train_mle=6.591m best=3.715663 bad=0/8
[MKG-ablation:decoder_top1] epoch=026/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.568198 train_mle=6.371m best=3.568198 bad=0/8
[MKG-ablation:decoder_top1] epoch=027/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.624183 train_mle=6.411m best=3.568198 bad=1/8
[MKG-ablation:decoder_top1] epoch=028/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.536241 train_mle=6.299m best=3.536241 bad=0/8
[MKG-ablation:decoder_top1] epoch=029/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.539910 train_mle=6.304m best=3.536241 bad=1/8
[MKG-ablation:decoder_top1] epoch=030/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.450160 train_mle=6.196m best=3.450160 bad=0/8
[MKG-ablation:decoder_top1] epoch=031/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.278967 train_mle=5.921m best=3.278967 bad=0/8
[MKG-ablation:decoder_top1] epoch=032/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=3.182431 train_mle=5.752m best=3.182431 bad=0/8
[MKG-ablation:decoder_top1] epoch=033/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.929217 train_mle=5.407m best=2.929217 bad=0/8
[MKG-ablation:decoder_top1] epoch=034/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.804204 train_mle=5.222m best=2.804204 bad=0/8
[MKG-ablation:decoder_top1] epoch=035/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.793800 train_mle=5.220m best=2.793800 bad=0/8
[MKG-ablation:decoder_top1] epoch=036/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.682530 train_mle=5.031m best=2.682530 bad=0/8
[MKG-ablation:decoder_top1] epoch=037/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.580170 train_mle=4.833m best=2.580170 bad=0/8
[MKG-ablation:decoder_top1] epoch=038/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.766452 train_mle=5.113m best=2.580170 bad=1/8
[MKG-ablation:decoder_top1] epoch=039/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.498243 train_mle=4.724m best=2.498243 bad=0/8
[MKG-ablation:decoder_top1] epoch=040/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.769945 train_mle=5.149m best=2.498243 bad=1/8
[MKG-ablation:decoder_top1] epoch=041/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.220706 train_mle=4.310m best=2.220706 bad=0/8
[MKG-ablation:decoder_top1] epoch=042/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.125758 train_mle=4.162m best=2.125758 bad=0/8
[MKG-ablation:decoder_top1] epoch=043/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=2.028973 train_mle=4.012m best=2.028973 bad=0/8
[MKG-ablation:decoder_top1] epoch=044/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.945386 train_mle=3.852m best=1.945386 bad=0/8
[MKG-ablation:decoder_top1] epoch=045/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.751910 train_mle=3.535m best=1.751910 bad=0/8
[MKG-ablation:decoder_top1] epoch=046/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.727042 train_mle=3.490m best=1.727042 bad=0/8
[MKG-ablation:decoder_top1] epoch=047/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.728512 train_mle=3.505m best=1.727042 bad=1/8
[MKG-ablation:decoder_top1] epoch=048/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.709246 train_mle=3.455m best=1.709246 bad=0/8
[MKG-ablation:decoder_top1] epoch=049/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.512276 train_mle=3.144m best=1.512276 bad=0/8
[MKG-ablation:decoder_top1] epoch=050/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.613382 train_mle=3.318m best=1.512276 bad=1/8
[MKG-ablation:decoder_top1] epoch=051/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.499827 train_mle=3.136m best=1.499827 bad=0/8
[MKG-ablation:decoder_top1] epoch=052/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.638818 train_mle=3.325m best=1.499827 bad=1/8
[MKG-ablation:decoder_top1] epoch=053/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.341887 train_mle=2.856m best=1.341887 bad=0/8
[MKG-ablation:decoder_top1] epoch=054/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.320287 train_mle=2.807m best=1.320287 bad=0/8
[MKG-ablation:decoder_top1] epoch=055/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.272235 train_mle=2.748m best=1.272235 bad=0/8
[MKG-ablation:decoder_top1] epoch=056/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.363765 train_mle=2.845m best=1.272235 bad=1/8
[MKG-ablation:decoder_top1] epoch=057/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.272393 train_mle=2.697m best=1.272235 bad=2/8
[MKG-ablation:decoder_top1] epoch=058/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.317198 train_mle=2.816m best=1.272235 bad=3/8
[MKG-ablation:decoder_top1] epoch=059/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.224867 train_mle=2.661m best=1.224867 bad=0/8
[MKG-ablation:decoder_top1] epoch=060/60 pipeline=MKG grid=6x6 decoder=top1 gru=full train_loss=1.146597 train_mle=2.522m best=1.146597 bad=0/8
{"MLE_m": 12.404024172994452, "MedLE_m": 11.993940086653954, "P90_m": 20.125766294098067, "P95_m": 22.234644868078608, "P99_m": 26.596167389158396, "CVaR90_m": 22.986263756903266, "LSR@5_pct": 9.270650263620386, "LSR@10_pct": 36.64323374340949, "LSR@15_pct": 67.9261862917399, "LSR@20_pct": 89.45518453427064, "Route": "route_B", "VisualMLE_m": 12.516395201828162, "Latency_ms_per_frame": 2.814081894836736, "FPS": 355.35568521825724, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/decoder_top1/jitter_0m/route_B_frames.csv"}
{"MLE_m": 11.309380777177653, "MedLE_m": 10.877842170339125, "P90_m": 18.70520609371884, "P95_m": 20.97282919747714, "P99_m": 23.710799924663206, "CVaR90_m": 21.1875952322931, "LSR@5_pct": 11.446740858505565, "LSR@10_pct": 43.48171701112877, "LSR@15_pct": 75.43720190779014, "LSR@20_pct": 93.72019077901432, "Route": "route_C", "VisualMLE_m": 11.609041003709375, "Latency_ms_per_frame": 2.761229506962256, "FPS": 362.15750899321, "PeakCUDAAllocated_MB": 118.5419921875, "Jitter_m": 0.0, "CandidateCount": 36, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/mkg_final_ablation_suite/mkg_final_20260901_155118/decoder_top1/jitter_0m/route_C_frames.csv"}
