sequence_index,frame_id,image_path,active_waypoint_from,active_waypoint_to,waypoint_switched_after_frame,gt_x,gt_y,prediction_x,prediction_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,visual_measurement_x,visual_measurement_y,measurement_var_x,measurement_var_y,final_x,final_y,vx,vy,error_m
10,10,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000010.jpg,0,1,0,-77.41057586669922,4.6642866134643555,-172.08961477108707,26.562856831435617,-183.7845458984375,29.25592613220215,-179.083740234375,24.467805862426758,-180.48776245117188,26.306087493896484,23.770227432250977,22.543704986572266,-175.4019353443908,26.460509944124905,-14.535095021057487,1.5468994637735214,100.38616380640416
11,11,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000011.jpg,0,1,0,-77.41057586669922,4.6642866134643555,-189.9370303654483,28.007409407898425,-202.80142211914062,15.10129165649414,-197.97854614257812,29.345808029174805,-197.17926025390625,27.518524169921875,23.896625518798828,22.659639358520508,-192.7848927573263,27.8130729745534,-15.212774890186727,1.5000623315854171,117.67369845454073
12,12,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000012.jpg,0,1,0,-77.41057586669922,4.6642866134643555,-207.99766764751303,29.31313530613882,-202.61831665039062,43.650238037109375,-212.17254638671875,29.43567657470703,-216.1162109375,29.060148239135742,23.99950408935547,22.75400161743164,-211.18760705629958,29.212638084599305,-15.972665440425631,1.4758187417532573,136.01071881970805
13,13,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000013.jpg,0,1,0,-87.32689666748047,5.565974712371826,-227.1602724967252,30.688456826352564,-226.3665313720703,29.525529861450195,-235.82920837402344,29.585424423217773,-236.81460571289062,30.798593521118164,24.081817626953125,22.829498291015625,-230.95423148697645,30.73221526167732,-16.876512897476204,1.4863746450919895,145.81546890072093
14,14,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000014.jpg,0,1,0,-87.32689666748047,5.565974712371826,-247.83074438445266,32.21858990676931,-249.9622039794922,39.19157028198242,-249.99270629882812,34.433414459228516,-252.30943298339844,32.58171081542969,24.141368865966797,22.884119033813477,-249.59173248908542,32.36293467911776,-17.295812978947797,1.521174598700772,164.46262191656737
15,15,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000015.jpg,0,1,0,-87.32689666748047,5.565974712371826,-266.88754546803324,33.88410927781853,-278.2892150878906,48.88750457763672,-278.3502197265625,39.37118911743164,-269.6662902832031,32.462074279785156,24.194438934326172,22.93279457092285,-267.9804074652162,33.31871122212313,-17.555827762458147,1.384969903976962,182.77282442236128
16,16,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000016.jpg,0,1,0,-97.24320983886719,6.612377643585205,-285.53623522767435,34.703681126100086,-301.9764099121094,44.278987884521484,-292.57470703125,34.702823638916016,-291.3592224121094,36.29634094238281,24.23723793029785,22.972061157226562,-287.82672970775167,35.336994882786115,-18.10035880623138,1.5374188655944014,192.7360414690311
17,17,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000017.jpg,0,1,0,-97.24320983886719,6.612377643585205,-305.92708851398305,36.87441374838052,-311.4085998535156,49.09699249267578,-311.4695739746094,39.5806770324707,-312.3691101074219,40.362152099609375,24.275114059448242,23.006805419921875,-308.46103567903344,38.26124312865256,-18.70236057916622,1.8710350965356153,213.57579600492815
18,18,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000018.jpg,0,1,0,-97.24320983886719,6.612377643585205,-327.16339625819967,40.13227822518817,-325.60260009765625,49.18674850463867,-335.1262512207031,39.73026657104492,-334.49853515625,41.44478225708008,24.305160522460938,23.034366607666016,-330.0486188492242,40.65415754045898,-19.387443528024892,1.9965137769365615,235.2811111054749
19,19,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000019.jpg,0,1,0,-107.29228973388672,7.647648811340332,-349.43606237724913,42.65067131739554,-358.6610412597656,58.91244125366211,-358.75244140625,44.637969970703125,-358.4920654296875,44.29731750488281,24.333166122436523,23.060054779052734,-352.99778782468417,43.30534003007785,-20.232803408875473,2.153857364934649,248.2794045729482
20,20,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000020.jpg,0,1,0,-107.29228973388672,7.647648811340332,-373.23059123355966,45.4591973950125,-382.3177490234375,59.06195068359375,-382.378662109375,49.54563903808594,-378.9935302734375,49.93403244018555,24.35651397705078,23.081472396850586,-375.49699626868914,47.23816442803105,-20.77054716581226,2.5812822763932752,271.11099854896133
21,21,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000021.jpg,0,1,0,-107.29228973388672,7.647648811340332,-396.2675434345014,49.81944670442432,-401.2126770019531,63.93968963623047,-406.0353698730469,49.69511032104492,-403.3960876464844,52.26539993286133,24.380210876464844,23.103208541870117,-399.07059033489946,50.79169462230598,-21.435442188743217,2.8148213044588783,294.9508185961748
22,22,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000022.jpg,0,1,0,-117.24945068359375,8.560468673706055,-420.50603252364266,53.606515926764864,-429.5702819824219,68.87716674804688,-429.66162109375,54.60270309448242,-426.50177001953125,56.99904251098633,24.402999877929688,23.124113082885742,-422.86329393389246,54.95482679891743,-21.99446647910328,3.1386212899476624,309.1152821393153
23,23,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000023.jpg,0,1,0,-117.24945068359375,8.560468673706055,-444.85776041299573,58.093448088865095,-462.689697265625,69.08631134033203,-453.3183288574219,54.752098083496094,-453.77252197265625,57.77674102783203,24.42669677734375,23.145854949951172,-448.36200100470086,57.967600056141784,-22.825319638141632,3.108404808398112,334.7784127024754
24,24,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000024.jpg,0,1,0,-117.24945068359375,8.560468673706055,-471.1873206428425,61.0760048645399,-491.1081848144531,64.50736236572266,-476.944580078125,59.659610748291016,-479.80157470703125,61.662925720214844,24.453771591186523,23.17069435119629,-474.57252788436637,61.30916582013968,-23.62778075525657,3.1643759975711823,361.19552399064344
25,25,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000025.jpg,0,1,0,-127.31895446777344,9.40649700164795,-498.20030863962296,64.47354181771087,-509.9422912597656,78.9012680053711,-505.3022155761719,64.5969467163086,-505.7869873046875,63.55103302001953,24.47543716430664,23.19057273864746,-501.1813949791138,64.10710129647491,-24.334286741934154,3.076429687487697,377.84293103790463
26,26,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000026.jpg,0,1,0,-127.31895446777344,9.40649700164795,-525.5156817210479,67.18353098396261,-528.8980712890625,74.26252746582031,-533.6902465820312,64.77606964111328,-533.6066284179688,65.89581298828125,24.496685028076172,23.210065841674805,-528.6945084172283,66.67208478114652,-25.08748765577174,2.9537084385173196,405.4401100680139
27,27,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000027.jpg,0,1,0,-127.31895446777344,9.40649700164795,-553.7819960730001,69.62579321966385,-562.1695556640625,50.680667877197266,-562.0479125976562,69.71328735351562,-561.93017578125,66.44827270507812,24.512950897216797,23.224990844726562,-556.9832204178878,68.36380481586173,-25.845830460871966,2.650958744437914,433.69037985543383
28,28,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000028.jpg,0,1,0,-137.2352752685547,10.352712631225586,-582.8290508787597,71.01476356029964,-599.898681640625,69.95195770263672,-590.4359741210938,69.89230346679688,-591.6090087890625,69.52207946777344,24.527677536010742,23.23849868774414,-586.2783244473696,70.42195469055483,-26.662773276863742,2.508771512310537,453.0430154603312
29,29,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000029.jpg,0,1,0,-137.2352752685547,10.352712631225586,-612.9410977242334,72.93072620286536,-618.9151611328125,55.79679489135742,-618.7936401367188,74.82941436767578,-621.2789916992188,72.4258804321289,24.545103073120117,23.254487991333008,-616.216193920854,72.73026057913076,-27.4383294032695,2.460697124424115,483.02554686164774
30,30,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000030.jpg,0,1,0,-137.2352752685547,10.352712631225586,-643.6545233241235,75.19095770355487,-647.090576171875,89.28278350830078,-647.1817016601562,75.00831604003906,-653.260498046875,75.17240905761719,24.558238983154297,23.26653289794922,-647.4275522781776,75.18359266835053,-28.331653703600004,2.4589311635489053,514.2948595180121
31,31,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000031.jpg,0,1,0,-147.09031677246094,11.321191787719727,-675.7592059817775,77.64252383189944,-680.3618774414062,65.7006607055664,-685.0628662109375,70.48860931396484,-682.8820190429688,78.7392578125,24.571979522705078,23.27913475036621,-678.5566418311886,78.077960467406,-28.99389373001404,2.563323790935107,535.6425308318808
32,32,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000032.jpg,0,1,0,-147.09031677246094,11.321191787719727,-707.5505355612027,80.6412842583411,-703.83642578125,94.39857482910156,-708.59814453125,89.67021179199219,-711.8937377929688,86.11491394042969,24.58251953125,23.288801193237305,-709.2562574371019,82.81442943261794,-29.39763599408714,3.0842502766030213,566.6937690431319
33,33,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000033.jpg,0,1,0,-147.09031677246094,11.321191787719727,-738.6538934311891,85.89867970922096,-741.687255859375,94.63687133789062,-741.687255859375,94.63687133789062,-746.2625732421875,79.99729919433594,24.590255737304688,23.295896530151367,-741.6421146938934,83.55568317343557,-30.10485800978645,2.522674580798453,598.923753208504
34,34,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000034.jpg,0,1,1,-156.9862060546875,12.222880363464355,-771.7469727036798,86.07835775423402,-765.01025390625,147.12545776367188,-765.0709838867188,137.60914611816406,-769.0313110351562,93.95050048828125,24.601924896240234,23.30660629272461,-770.6805623892476,89.20341409160089,-29.85249658545171,3.271622845993172,618.5036504095661
35,35,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000035.jpg,1,2,0,-156.9862060546875,12.222880363464355,-800.5330589746993,92.47503693759407,-755.8509521484375,99.48436737060547,-751.1195678710938,99.45458984375,-755.6981201171875,76.75184631347656,24.61200523376465,23.31585121154785,-782.9281202709244,86.23372533998679,-25.68676977758663,1.7759762750605252,630.3022173107324
36,36,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000036.jpg,1,2,0,-166.95358276367188,13.180227279663086,-808.614890048511,88.00970161504732,-750.9375610351562,128.00350952148438,-755.7296142578125,118.51698303222656,-759.081298828125,74.51274108886719,24.622529983520508,23.325511932373047,-789.1666520325784,82.65253850858254,-21.085315111282732,0.49232219102468866,626.0794722689134
37,37,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000037.jpg,1,2,0,-166.95358276367188,13.180227279663086,-810.2519671438612,83.14486069960722,-750.9375610351562,128.00350952148438,-755.69921875,123.27513122558594,-759.8564453125,70.95156860351562,24.63170623779297,23.33392906188965,-790.4663289231215,78.30538551490612,-16.40448015795081,-0.6671788320379828,626.9046425561576
38,38,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000038.jpg,1,2,0,-166.95358276367188,13.180227279663086,-806.8708090810724,77.63820668286814,-755.790283203125,109.00067138671875,-755.8509521484375,99.48436737060547,-758.3209228515625,69.03392791748047,24.640907287597656,23.342369079589844,-787.8109909488993,74.22340849268816,-11.895779213776152,-1.4852642621173993,623.851097034448
39,39,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000039.jpg,1,2,0,-176.89031982421875,14.204366683959961,-799.7067701626754,72.73814423057077,-755.8509521484375,99.48436737060547,-755.8509521484375,99.48436737060547,-755.0445556640625,72.9643325805664,24.64891815185547,23.349714279174805,-782.1738842977184,72.82790858638178,-7.748658685508527,-1.4637612438071739,608.1158714315309
40,40,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000040.jpg,1,2,0,-176.89031982421875,14.204366683959961,-789.9225429832269,71.36414734257461,-755.8509521484375,99.48436737060547,-755.8812866210938,94.72621154785156,-754.8158569335938,72.53628540039062,24.66082763671875,23.360641479492188,-776.1428982251107,71.82925096001128,-4.489585059637022,-1.3523550323610454,602.0168436247822
41,41,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000041.jpg,1,2,0,-176.89031982421875,14.204366683959961,-780.6324832847477,70.47689592765023,-751.1802978515625,89.93827819824219,-755.91162109375,89.96805572509766,-754.5804443359375,72.47244262695312,24.671154022216797,23.3701171875,-770.4076968254387,71.26866485667311,-2.0715055828801705,-1.1627195473242964,596.2543173247071
42,42,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000042.jpg,1,2,0,-186.7760009765625,15.10605525970459,-772.4792024083189,70.10594530934881,-751.1802978515625,89.93827819824219,-755.91162109375,89.96805572509766,-754.5816650390625,72.44937133789062,24.6805362701416,23.378719329833984,-765.4552681893903,71.03568925406398,-0.41056107987176316,-0.9400585262652372,581.3757977940932
43,43,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000043.jpg,1,2,0,-186.7760009765625,15.10605525970459,-765.865829269262,70.09563072779875,-756.1543579101562,51.902828216552734,-751.3319702148438,66.14751434326172,-754.2001342773438,68.34074401855469,24.68967056274414,23.387100219726562,-761.2878786761012,69.39942862305895,0.6718802404655142,-1.1067740742423842,577.0716316099955
44,44,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000044.jpg,1,2,0,-186.7760009765625,15.10605525970459,-760.6159984356357,68.29265454881657,-756.1543579101562,51.902828216552734,-751.3623046875,61.38935470581055,-753.7672729492188,65.6927490234375,24.701019287109375,23.397510528564453,-757.9286945848922,67.26133747862228,1.3072255184011616,-1.353715590142116,573.5290514693964
45,45,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000045.jpg,1,2,0,-196.71273803710938,15.974347114562988,-756.621469066491,65.90762188848016,-756.1543579101562,51.902828216552734,-751.3623046875,61.38935470581055,-750.975830078125,64.08235931396484,24.708568572998047,23.404436111450195,-754.4062618657114,65.18359560205012,1.8309051131088325,-1.5270624091981473,559.8603546037767
46,46,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000046.jpg,1,2,0,-196.71273803710938,15.974347114562988,-752.5753567526025,63.656533192851974,-756.1543579101562,51.902828216552734,-746.6309814453125,61.35957717895508,-747.0365600585938,63.49639129638672,24.71485137939453,23.410194396972656,-750.4020885551032,63.59301025657604,2.3446239604768957,-1.5422697869579867,555.7332399240397
47,47,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000047.jpg,1,2,0,-196.71273803710938,15.974347114562988,-748.0574645946263,62.05074046961805,-751.4230346679688,51.873046875,-741.899658203125,61.329795837402344,-741.400634765625,62.821556091308594,24.725393295288086,23.419864654541016,-745.4458691789523,62.35645680922144,2.96190628684654,-1.4690869132223379,550.689884883006
48,48,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000048.jpg,1,2,0,-206.75160217285156,16.920562744140625,-742.4839628921058,60.8873698959991,-746.691650390625,51.84326934814453,-732.4369506835938,61.27022933959961,-735.3598022460938,62.70821762084961,24.735332489013672,23.42898178100586,-739.6892917191019,61.60947739703783,3.62240732520643,-1.2962411578358393,534.8080777547675
49,49,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000049.jpg,1,2,0,-206.75160217285156,16.920562744140625,-736.0668843938955,60.31323623920199,-718.333984375,46.90640640258789,-727.7056274414062,61.24044418334961,-728.2963256835938,62.90602111816406,24.745445251464844,23.43825912475586,-733.0189197085889,61.34138705375605,4.342710836811514,-1.0501603733336111,528.1387120242241
50,50,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000050.jpg,1,2,0,-206.75160217285156,16.920562744140625,-728.6762088717774,60.29122668042244,-713.6026611328125,46.87661361694336,-718.2733154296875,56.42271423339844,-721.3687133789062,61.215843200683594,24.755691528320312,23.447654724121094,-725.8101312117911,60.65784581113555,5.019969108970534,-0.9624202978021958,520.8979808927561
51,51,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000051.jpg,1,2,0,-216.74961853027344,17.889041900634766,-720.7901621028207,59.695425513333355,-704.1400146484375,46.8170280456543,-708.8106079101562,56.36313247680664,-713.6336059570312,61.85295867919922,24.762802124023438,23.454172134399414,-717.9833062906164,60.55090113137119,5.683170792832741,-0.7577046846648609,503.0459660695592
52,52,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000052.jpg,1,2,0,-216.74961853027344,17.889041900634766,-712.3001354977837,59.79319644670633,-694.6773071289062,46.75743865966797,-699.3479614257812,56.30354309082031,-704.1610717773438,62.085304260253906,24.77272605895996,23.463275909423828,-709.108263704685,60.701940575652394,6.437277777922567,-0.5402602666113611,494.21653126027604
53,53,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000053.jpg,1,2,0,-216.74961853027344,17.889041900634766,-702.6709859267625,60.16168030904103,-694.6773071289062,46.75743865966797,-694.6166381835938,56.273746490478516,-694.9692993164062,61.49315643310547,24.785438537597656,23.474937438964844,-699.6511241074983,60.689484360210756,7.150683877320384,-0.4139778514374667,484.79453582263693
54,54,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000054.jpg,1,2,0,-226.6659393310547,18.824125289916992,-692.5004402301779,60.27550650877329,-694.6773071289062,46.75743865966797,-689.88525390625,56.24394989013672,-686.3638916015625,59.73810958862305,24.795124053955078,23.483821868896484,-690.0944073184725,60.06249083495112,7.7190253242659335,-0.46493921832395657,465.25965625013197
55,55,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000055.jpg,1,2,0,-226.6659393310547,18.824125289916992,-682.3753819942066,59.597551616627165,-685.184326171875,51.45599365234375,-680.4529418945312,51.42619323730469,-676.195068359375,57.89737319946289,24.80449676513672,23.492420196533203,-679.9523314949646,58.92366585966435,8.291330096450395,-0.6261426559434926,455.0566189771101
56,56,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000056.jpg,1,2,0,-226.6659393310547,18.824125289916992,-671.6610013985141,58.29752320372086,-675.7216186523438,51.39638900756836,-666.2589721679688,51.3367805480957,-664.9176025390625,56.146095275878906,24.815343856811523,23.502365112304688,-669.0174635429147,57.44486510963645,8.915651964749388,-0.830092062687482,444.0342695297045
57,57,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000057.jpg,1,2,0,-236.7150115966797,19.870529174804688,-660.1018115781653,56.61477304694897,-642.5718994140625,55.945884704589844,-647.30322265625,55.9756965637207,-654.3750610351562,58.229820251464844,24.825439453125,23.511625289916992,-657.8569927524376,57.254803767365296,9.445757083728582,-0.6770159422258657,422.7980041090647
58,58,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000058.jpg,1,2,0,-236.7150115966797,19.870529174804688,-648.411235668709,56.57778782513943,-633.01806640625,70.16072082519531,-637.840576171875,55.91606903076172,-641.8316040039062,56.406944274902344,24.839515686035156,23.524539947509766,-645.8325543060893,56.51009540972889,10.054643361573113,-0.6932044141189493,410.75494101284886
59,59,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000059.jpg,1,2,0,-246.72323608398438,20.88353729248047,-635.7779109445162,55.81689099560994,-637.9620361328125,36.88344955444336,-628.3778686523438,55.8564338684082,-630.92578125,55.35526657104492,24.84402847290039,23.528682708740234,-633.8760964637947,55.63396801006613,10.503657382311706,-0.7369454273724589,388.70931264291397
60,60,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000060.jpg,1,2,0,-246.72323608398438,20.88353729248047,-623.372439081483,54.897022582693666,-618.9151611328125,55.79679489135742,-614.183837890625,55.766971588134766,-617.1279907226562,54.789695739746094,24.846927642822266,23.531333923339844,-620.9247455004814,54.854490780864715,11.081498920571322,-0.7471148364817513,375.7403296566589
61,61,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000061.jpg,1,2,0,-246.72323608398438,20.88353729248047,-609.8432465799101,54.107375944382966,-599.898681640625,69.95195770263672,-600.0202026367188,50.919342041015625,-603.0443115234375,53.38166809082031,24.855302810668945,23.53901481628418,-607.17852774406,53.81982395798146,11.710532549751342,-0.8158644592105403,361.9569259802363
62,62,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000062.jpg,1,2,0,-256.56805419921875,21.774091720581055,-595.4679951943087,53.003959498770925,-595.2888793945312,50.88951110839844,-585.8262329101562,50.82984924316406,-590.328369140625,53.81593704223633,24.853992462158203,23.537805557250977,-593.4533260645763,53.32573863239906,12.186086113750799,-0.7389361608715181,338.3595614470558
63,63,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000063.jpg,1,2,0,-256.56805419921875,21.774091720581055,-581.2672399508256,52.58680247152754,-562.1695556640625,50.680667877197266,-571.6322021484375,50.7403450012207,-573.000732421875,52.56702423095703,24.84775161743164,23.532075881958008,-578.0262500389107,52.57896309689703,12.951078461212326,-0.7408102670365843,322.93081576867377
64,64,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000064.jpg,1,2,0,-256.56805419921875,21.774091720581055,-565.0751715776984,51.83815282986044,-566.9920654296875,36.43604278564453,-557.4381713867188,50.65082931518555,-560.5023803710938,53.103538513183594,24.842588424682617,23.527334213256836,-563.2821948885401,52.339747014952934,13.374286629787619,-0.6208974268662638,308.23339108922505
65,65,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000065.jpg,1,2,0,-266.5252380371094,22.56446075439453,-549.9079082587524,51.71884958808667,-543.3353881835938,36.28683090209961,-543.2442016601562,50.56129837036133,-543.3636474609375,47.53947448730469,24.835498809814453,23.52082633972168,-547.3416516691166,50.06199212398879,13.980034311961852,-1.0170027149783807,282.15948043006523
66,66,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000066.jpg,1,2,0,-266.5252380371094,22.56446075439453,-533.3616173571547,49.044989409010405,-524.4404907226562,31.409276962280273,-524.3492431640625,45.68374252319336,-527.3681030273438,42.78984832763672,24.835073471069336,23.520429611206055,-531.0115269844339,46.56542293682088,14.534785300158937,-1.6098225027328743,265.57304687563817
67,67,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000067.jpg,1,2,0,-266.5252380371094,22.56446075439453,-516.476741684275,44.955600434088005,-519.7091674804688,31.379423141479492,-510.1552429199219,45.594181060791016,-511.24481201171875,41.224273681640625,24.839540481567383,23.524524688720703,-514.4255921492243,43.47670620524233,15.018991437405154,-1.9634148783168635,248.78084246723753
68,68,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000068.jpg,1,2,0,-276.4721984863281,23.421621322631836,-499.4066007118191,41.51329132692547,-495.86993408203125,59.77906799316406,-491.2298889160156,45.47473907470703,-493.23138427734375,36.54498291015625,24.842193603515625,23.52695655822754,-496.98574271755615,39.54420322136128,15.590482846595737,-2.434216356470095,221.10215023038333
69,69,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000069.jpg,1,2,1,-276.4721984863281,23.421621322631836,-481.3952598709604,37.109986864891184,-476.7011413574219,97.724853515625,-476.7619934082031,88.20854187011719,-483.1383361816406,38.81745910644531,24.84508514404297,23.52960205078125,-482.07857336807933,37.78668888318763,15.429174066927265,-2.272420472732215,206.10758491145964
70,70,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_000070.jpg,2,3,0,-276.4721984863281,23.421621322631836,-466.6493993011521,35.514268410455415,-462.781005859375,54.81184387207031,-458.1409606933594,40.507503509521484,-460.14154052734375,32.25768280029297,24.852584838867188,23.53648567199707,-464.0985650801019,34.223795041199786,16.031333425915903,-2.5809596026599633,187.9370649931176
