Experiment,Category,GRU,Kalman,Kalman_mode,MS,Motion,MS_grid,MS_bandwidth_m,B_MLE_m,C_MLE_m,BC_weighted_MLE_m,Delta_vs_Full_pct,B_P90_m,C_P90_m,BC_weighted_P90_m,B_LSR5_pct,C_LSR5_pct,BC_weighted_LSR5_pct,B_LSR15_pct,C_LSR15_pct,B_JumpRate_pct,C_JumpRate_pct,B_MS_Latency_ms,C_MS_Latency_ms,BC_MS_Latency_ms,MS_FPS
sens_ms_grid7x7,ms_window,yes,yes,fixed,yes,velocity,7,7.0,2.080419920155934,1.6954999352670885,1.9433997331185353,-0.07471294787686489,3.8449453072157382,3.6681199793669617,3.782000694189773,97.93497363796133,95.54848966613673,97.08545557441992,100.0,100.0,0.0,0.0,101.3539116237709,108.80146128696569,104.00502013432525,9.614920498149738
sens_ms_grid8x8,ms_window,yes,yes,fixed,yes,velocity,8,7.0,2.080886432398381,1.6960781462325623,1.943906006819264,-0.04868148146770501,3.8455020238292845,3.6694932143269776,3.7828480673058262,97.93497363796133,95.54848966613673,97.08545557441992,100.0,100.0,0.0,0.0,111.01350134660723,118.49707172647368,113.67743217226428,8.79682080155208
sens_ms_bandwidth1,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,1.0,24.48033402203726,10.073209874039808,19.351821804102684,895.0275878928251,66.34869305763422,24.506464604581545,51.45409107859057,31.282952548330407,48.330683624801274,37.35144312393888,56.81019332161688,81.16057233704292,64.48351648351648,39.69769291964996,106.9353304247522,105.4645225853911,106.41176611747537,9.397457033990305
sens_ms_bandwidth2,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,2.0,2.8954690332621382,2.172738553866704,2.6381982514060383,35.65027980585729,5.158965554522384,4.4251441749951335,4.8977467386069105,89.14762741652021,93.24324324324324,90.60554612337295,99.78031634446397,100.0,3.472527472527472,0.31821797931583135,94.48572845266219,95.99918789641343,95.024475475933,10.523604523902598
sens_ms_bandwidth3,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,3.0,2.2600394722883492,1.8853575691683229,2.126663741070185,9.34831428054883,4.134774735920898,3.946246464496964,4.067664219381195,96.70474516695958,94.51510333863276,95.92529711375212,100.0,100.0,0.0,0.0,102.7167362175701,102.38679069138347,102.59928532001979,9.74665658616312
sens_ms_bandwidth4,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,4.0,2.160408203146206,1.7788876202569168,2.0245981031816545,4.100326442347657,3.9733211379324294,3.8350395791263843,3.924096972403849,97.49560632688929,95.1510333863275,96.66100735710243,100.0,100.0,0.0,0.0,100.70273156119435,99.5445457087672,100.2904514812981,9.97103896961195
sens_ms_bandwidth5,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,5.0,2.114609533611529,1.7302540443264778,1.977790290396873,1.693572932458176,3.8928196925331116,3.7178968398636645,3.8305523046841685,97.6274165202109,95.23052464228935,96.7741935483871,100.0,100.0,0.0,0.0,100.508282328678,98.43068761396121,99.76871975054736,10.023181639498924
sens_ms_bandwidth6,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,6.0,2.093105820790705,1.708286212679936,1.9561213649323723,0.5794050336714873,3.8764367224647716,3.6969721880184365,3.8125526295577283,97.75922671353251,95.46899841017488,96.94397283531409,100.0,100.0,0.0,0.0,23.165445421815736,19.882123460212014,21.996679426428784,45.46140717941774
sens_ms_bandwidth7,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,7.0,2.081803226125177,1.6970791868778414,1.9448527899697872,0.0,3.8496803600016944,3.672302977347226,3.7865392317109983,97.93497363796133,95.46899841017488,97.05715902659875,100.0,100.0,0.0,0.0,22.974534914870304,20.73347907955531,22.176784988207523,45.09219891574675
sens_ms_bandwidth8,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,8.0,2.0752152965659594,1.6906748365031805,1.938330209197828,-0.3353765799446684,3.847513666676229,3.66196285006974,3.7814630364297765,97.93497363796133,95.46899841017488,97.05715902659875,100.0,100.0,0.0,0.0,20.122961595427256,18.657496939216063,19.601299304110423,51.01702619225341
sens_ms_bandwidth9,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,9.0,2.0710370092160764,1.6866832635703228,1.934218386685698,-0.5467973380265168,3.844327505460605,3.658118449738377,3.77804256145988,97.93497363796133,95.46899841017488,97.05715902659875,100.0,100.0,0.0,0.0,21.721295968862457,19.243160175676806,20.83915255408386,47.98659625935842
sens_ms_bandwidth10,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,10.0,2.06821579457627,1.6840167448939887,1.9314522392564315,-0.6890264796629575,3.8397932828136327,3.661276281400977,3.7762464837821894,97.93497363796133,95.38950715421304,97.02886247877758,100.0,100.0,0.0,0.0,21.47562198323477,20.749067917241675,21.216990117071976,47.13203873321141
sens_ms_bandwidth11,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,11.0,2.066209132911061,1.6821397158236226,1.9294917229801054,-0.7898318612546751,3.8335299376474588,3.659871976059127,3.7717128137996605,97.93497363796133,95.38950715421304,97.02886247877758,100.0,100.0,0.0,0.0,20.348288823240075,20.735159760162066,20.48600349178786,48.81381575478428
sens_ms_bandwidth12,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,12.0,2.0647265820052962,1.6807655955317553,1.9280477701819476,-0.8640766989927662,3.831179375099388,3.6536356790930613,3.7679790441497674,97.97891036906854,95.38950715421304,97.05715902659875,100.0,100.0,0.0,0.0,20.567317343568256,19.356088006356277,20.13615534407401,49.66191325566507
sens_ms_bandwidth13,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,13.0,2.063599760952479,1.679726916434086,1.9269523250712857,-0.9204020474361752,3.831191731864913,3.6466424054709212,3.7654976026618456,97.97891036906854,95.38950715421304,97.05715902659875,100.0,100.0,0.0,0.0,21.16072278441604,18.518759471823913,20.22026159391211,49.45534435128568
sens_ms_bandwidth14,meanshift_bandwidth,yes,yes,fixed,yes,velocity,6,14.0,2.0627166971023416,1.6789168788197977,1.9260952564120644,-0.9644706095217725,3.832855001690233,3.641115637671383,3.764601430684089,97.97891036906854,95.38950715421304,97.05715902659875,100.0,100.0,0.0,0.0,20.316798234244814,21.650189067599598,20.79144613134734,48.09670254212363
