[cpu-fix] GPU satellite grid lookup enabled; CPU threads/process=2
[KG-segclosed] epoch=025/60 segment_frames=49 train_next_loss=31.744435 provisional_mle=55.802m search_mle=53.677m final_ms_mle=54.159m within20=30.07% best=14.378660
[KG-segclosed] epoch=026/60 segment_frames=50 train_next_loss=33.600346 provisional_mle=57.431m search_mle=55.166m final_ms_mle=55.903m within20=30.35% best=14.378660
[KG-segclosed] epoch=027/60 segment_frames=51 train_next_loss=34.936475 provisional_mle=60.286m search_mle=58.033m final_ms_mle=58.845m within20=29.28% best=14.378660
[KG-segclosed] epoch=028/60 segment_frames=53 train_next_loss=32.280840 provisional_mle=56.824m search_mle=54.719m final_ms_mle=55.383m within20=35.80% best=14.378660
[KG-segclosed] epoch=029/60 segment_frames=54 train_next_loss=34.436090 provisional_mle=60.014m search_mle=57.686m final_ms_mle=58.735m within20=30.79% best=14.378660
[KG-segclosed] epoch=030/60 segment_frames=55 train_next_loss=37.973440 provisional_mle=67.506m search_mle=65.228m final_ms_mle=66.327m within20=28.11% best=14.378660
[KG-segclosed] epoch=031/60 segment_frames=57 train_next_loss=40.630391 provisional_mle=68.774m search_mle=66.628m final_ms_mle=67.496m within20=25.99% best=14.378660
[KG-segclosed] epoch=032/60 segment_frames=58 train_next_loss=35.657679 provisional_mle=62.085m search_mle=60.082m final_ms_mle=60.950m within20=29.82% best=14.378660
[KG-segclosed] epoch=033/60 segment_frames=59 train_next_loss=34.806112 provisional_mle=60.473m search_mle=58.428m final_ms_mle=59.936m within20=32.55% best=14.378660
[KG-segclosed] epoch=034/60 segment_frames=61 train_next_loss=38.988519 provisional_mle=66.218m search_mle=64.093m final_ms_mle=65.218m within20=31.51% best=14.378660
[KG-segclosed] epoch=035/60 segment_frames=62 train_next_loss=35.987037 provisional_mle=61.638m search_mle=59.518m final_ms_mle=61.258m within20=32.67% best=14.378660
[KG-segclosed] epoch=036/60 segment_frames=63 train_next_loss=37.363869 provisional_mle=63.902m search_mle=61.882m final_ms_mle=62.762m within20=28.99% best=14.378660
[KG-segclosed] epoch=037/60 segment_frames=65 train_next_loss=36.770326 provisional_mle=65.925m search_mle=64.059m final_ms_mle=65.596m within20=36.16% best=14.378660
[KG-segclosed] epoch=038/60 segment_frames=66 train_next_loss=31.961756 provisional_mle=54.935m search_mle=53.331m final_ms_mle=54.564m within20=34.10% best=14.378660
[KG-segclosed] epoch=039/60 segment_frames=68 train_next_loss=35.294744 provisional_mle=61.366m search_mle=59.630m final_ms_mle=61.712m within20=35.46% best=14.378660
[KG-segclosed] epoch=040/60 segment_frames=69 train_next_loss=39.124403 provisional_mle=67.184m search_mle=65.190m final_ms_mle=65.829m within20=31.50% best=14.378660
[KG-segclosed] epoch=041/60 segment_frames=70 train_next_loss=39.163238 provisional_mle=69.652m search_mle=67.754m final_ms_mle=69.449m within20=36.79% best=14.378660
[KG-segclosed] epoch=042/60 segment_frames=72 train_next_loss=32.637707 provisional_mle=55.741m search_mle=54.087m final_ms_mle=54.696m within20=40.96% best=14.378660
[KG-segclosed] epoch=043/60 segment_frames=73 train_next_loss=28.824984 provisional_mle=51.415m search_mle=49.945m final_ms_mle=51.772m within20=39.00% best=14.378660
[KG-segclosed] epoch=044/60 segment_frames=74 train_next_loss=37.370180 provisional_mle=63.513m search_mle=61.846m final_ms_mle=63.404m within20=37.58% best=14.378660
[KG-segclosed] epoch=045/60 segment_frames=76 train_next_loss=29.093118 provisional_mle=50.421m search_mle=49.065m final_ms_mle=49.701m within20=40.61% best=14.378660
[KG-segclosed] epoch=046/60 segment_frames=77 train_next_loss=34.619883 provisional_mle=60.016m search_mle=58.410m final_ms_mle=60.545m within20=33.79% best=14.378660
[KG-segclosed] epoch=047/60 segment_frames=78 train_next_loss=44.768159 provisional_mle=75.380m search_mle=73.599m final_ms_mle=75.035m within20=33.80% best=14.378660
[KG-segclosed] epoch=048/60 segment_frames=80 train_next_loss=36.896233 provisional_mle=63.222m search_mle=61.882m final_ms_mle=62.787m within20=34.10% best=14.378660
[KG-segclosed] epoch=049/60 segment_frames=81 train_next_loss=35.228087 provisional_mle=60.141m search_mle=58.809m final_ms_mle=59.820m within20=31.49% best=14.378660
[KG-segclosed] epoch=050/60 segment_frames=82 train_next_loss=34.552798 provisional_mle=60.991m search_mle=59.498m final_ms_mle=60.175m within20=40.52% best=14.378660
[KG-segclosed] epoch=051/60 segment_frames=84 train_next_loss=38.603362 provisional_mle=65.900m search_mle=64.422m final_ms_mle=66.459m within20=30.81% best=14.378660
[KG-segclosed] epoch=052/60 segment_frames=85 train_next_loss=36.979462 provisional_mle=62.786m search_mle=61.446m final_ms_mle=63.309m within20=31.37% best=14.378660
[KG-segclosed] epoch=053/60 segment_frames=87 train_next_loss=37.028460 provisional_mle=62.477m search_mle=61.322m final_ms_mle=61.354m within20=40.42% best=14.378660
[KG-segclosed] epoch=054/60 segment_frames=88 train_next_loss=36.424795 provisional_mle=61.664m search_mle=60.414m final_ms_mle=61.395m within20=26.51% best=14.378660
[KG-segclosed] epoch=055/60 segment_frames=89 train_next_loss=33.841935 provisional_mle=55.427m search_mle=54.067m final_ms_mle=54.477m within20=32.15% best=14.378660
[KG-segclosed] epoch=056/60 segment_frames=91 train_next_loss=25.149763 provisional_mle=45.239m search_mle=44.150m final_ms_mle=45.132m within20=48.17% best=14.378660
[KG-segclosed] epoch=057/60 segment_frames=92 train_next_loss=31.368513 provisional_mle=56.435m search_mle=55.408m final_ms_mle=57.068m within20=40.71% best=14.378660
[KG-segclosed] epoch=058/60 segment_frames=93 train_next_loss=32.115266 provisional_mle=52.659m search_mle=51.582m final_ms_mle=52.838m within20=44.15% best=14.378660
[KG-segclosed] epoch=059/60 segment_frames=95 train_next_loss=31.444438 provisional_mle=50.096m search_mle=49.031m final_ms_mle=50.045m within20=40.45% best=14.378660
[KG-segclosed] epoch=060/60 segment_frames=96 train_next_loss=23.093814 provisional_mle=41.463m search_mle=40.578m final_ms_mle=42.330m within20=48.09% best=14.378660
{"MLE_m": 802.814523172212, "MedLE_m": 796.9594833655835, "P90_m": 1300.3882644502369, "P95_m": 1335.8365183585943, "P99_m": 1406.479321747331, "CVaR90_m": 1347.7898343581396, "LSR@5_pct": 0.0, "LSR@10_pct": 0.0, "LSR@15_pct": 1.8909410729991205, "LSR@20_pct": 2.0668425681618294, "Architecture": "KG", "Route": "route_B", "Protocol": "segmented closed-loop train; full-route closed-loop eval", "LatencyFrames": 1, "FinalizedFrameCount": 2274, "ProvisionalNextMLE_m": 802.5349250807791, "SearchCenterMLE_m": 802.8823840336398, "MeanMSCorrectionGain_m": 0.06786086142761956, "MSCorrectionSuccess_pct": 52.022867194371145, "EvalFrameAlignedReferencePrior": false, "EvalSegmentResets": false, "EvalInitialPosition": "known planned-route start", "EvalInitialVelocity": "planned-route tangent * Route-A median training speed", "TrainSpeedPrior_m_per_frame": 3.231869390235868, "MeanShiftCandidateCount": 36, "ForwardSearch": false, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/delayed_pair_segmented_closed_loop_center6x6/kg/route_B_kg_segmented_train_full_closedloop_eval_frames.csv"}
{"MLE_m": 340.83832527845203, "MedLE_m": 327.87009078060294, "P90_m": 565.5210629911388, "P95_m": 652.678792430447, "P99_m": 741.2041356349266, "CVaR90_m": 654.4641681625437, "LSR@5_pct": 0.0, "LSR@10_pct": 3.5031847133757963, "LSR@15_pct": 4.777070063694268, "LSR@20_pct": 5.254777070063694, "Architecture": "KG", "Route": "route_C", "Protocol": "segmented closed-loop train; full-route closed-loop eval", "LatencyFrames": 1, "FinalizedFrameCount": 1256, "ProvisionalNextMLE_m": 340.66641213539356, "SearchCenterMLE_m": 340.93197774428864, "MeanMSCorrectionGain_m": 0.0936524658366318, "MSCorrectionSuccess_pct": 50.0, "EvalFrameAlignedReferencePrior": false, "EvalSegmentResets": false, "EvalInitialPosition": "known planned-route start", "EvalInitialVelocity": "planned-route tangent * Route-A median training speed", "TrainSpeedPrior_m_per_frame": 3.231869390235868, "MeanShiftCandidateCount": 36, "ForwardSearch": false, "CSV": "/yh/study/uav-sat/v36_byTeacher/output/mobilenet_v3_small/delayed_pair_segmented_closed_loop_center6x6/kg/route_C_kg_segmented_train_full_closedloop_eval_frames.csv"}
