method,family,city,route,frames,Recall@1_pct,MLE_m,MedLE_m,P90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,HSR@15_pct,MHE_deg,note
Bearing-UAV-official-pretrained,four-RST-pose-regression,cityb,test_01,160,88.125,8.725558711019207,7.478956442456145,16.058285177936614,32.5,68.125,87.5,95.0,90.625,6.242325583671506,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
Bearing-UAV-official-pretrained,four-RST-pose-regression,cityb,test_02,186,87.63440860215054,7.698446403689445,6.522552708352896,13.573249802872713,36.55913978494624,81.72043010752688,91.39784946236558,95.6989247311828,98.38709677419355,4.179303891980694,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
Bearing-UAV-official-pretrained,four-RST-pose-regression,cityc,test_01,159,94.33962264150944,6.692809310971599,5.219265112690878,13.287775944026183,47.79874213836478,81.76100628930818,92.45283018867924,96.22641509433963,91.19496855345912,6.347926995990859,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
Bearing-UAV-official-pretrained,four-RST-pose-regression,cityc,test_02,227,92.07048458149781,7.267566757996237,6.065168870979258,13.268564103283135,40.969162995594715,81.05726872246696,92.95154185022027,96.0352422907489,95.15418502202643,5.869293115730326,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
Bearing-UAV-official-pretrained,four-RST-pose-regression,cityd,test_01,140,85.71428571428571,10.520995003852116,8.047101724120015,17.06815001751721,23.57142857142857,61.42857142857143,88.57142857142857,90.71428571428571,89.28571428571429,7.710964500190169,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
Bearing-UAV-official-pretrained,four-RST-pose-regression,cityd,test_02,235,91.91489361702128,8.609921331760566,7.373133044559888,17.08838613489018,29.361702127659573,71.91489361702128,88.51063829787233,95.31914893617022,94.04255319148936,6.342242415559975,authors released VGG-16 checkpoint; native p1/p2/p3/p4 pose regression; same selected route UAV frames
university1652,native-four-RST-matching-to-tile,citya,test_01,162,38.88888888888889,57.10263442993164,52.41191101074219,105.0035614013672,0.0,1.8518518518518516,2.4691358024691357,10.493827160493826,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,citya,test_02,205,20.48780487804878,66.81549072265625,68.2876968383789,104.28260650634765,0.4878048780487805,2.4390243902439024,5.365853658536586,9.268292682926829,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,cityb,test_01,160,23.125,72.13238525390625,74.31643676757812,112.22465057373047,0.0,0.0,0.625,3.125,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,cityb,test_02,186,38.17204301075269,56.913326263427734,53.05355453491211,104.14576721191406,0.0,0.5376344086021506,1.6129032258064515,5.913978494623656,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,cityc,test_01,159,35.22012578616352,58.53315353393555,54.76354217529297,106.22635192871097,0.0,0.628930817610063,1.8867924528301887,5.031446540880504,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,cityc,test_02,227,30.396475770925107,59.779151916503906,59.30696105957031,99.10930938720703,0.4405286343612335,1.3215859030837005,4.405286343612335,8.81057268722467,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,cityd,test_01,140,41.42857142857143,53.796836853027344,46.44470977783203,98.14575271606445,0.7142857142857143,0.7142857142857143,2.857142857142857,6.428571428571428,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
university1652,native-four-RST-matching-to-tile,cityd,test_02,235,30.638297872340424,59.49416732788086,60.215885162353516,100.11067352294921,0.0,0.425531914893617,4.25531914893617,9.361702127659575,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,citya,test_01,162,24.074074074074073,66.60197448730469,73.40730285644531,104.61804580688478,0.0,1.2345679012345678,1.2345679012345678,6.172839506172839,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,citya,test_02,205,34.63414634146341,60.40138244628906,59.58887481689453,106.92073669433593,0.975609756097561,2.4390243902439024,6.341463414634147,12.682926829268293,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,cityb,test_01,160,35.625,62.9994010925293,58.457733154296875,111.60234832763672,0.0,0.0,3.125,8.125,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,cityb,test_02,186,27.419354838709676,61.31436538696289,61.933799743652344,103.81017684936523,0.0,0.0,0.5376344086021506,3.225806451612903,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,cityc,test_01,159,34.59119496855346,61.43039321899414,61.21015167236328,106.80318908691407,0.0,0.0,1.8867924528301887,5.660377358490567,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,cityc,test_02,227,31.718061674008812,60.233436584472656,59.51072311401367,101.34571990966798,0.881057268722467,2.2026431718061676,4.845814977973569,8.370044052863436,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,cityd,test_01,140,35.0,59.63511276245117,56.346412658691406,101.998494720459,0.0,0.0,1.4285714285714286,5.0,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
sues200,native-four-RST-matching-to-tile,cityd,test_02,235,26.80851063829787,62.33361053466797,63.722999572753906,103.16038360595701,0.0,0.425531914893617,2.9787234042553195,7.234042553191489,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,citya,test_01,162,24.074074074074073,66.97390747070312,67.40277099609375,106.6730567932129,0.0,0.6172839506172839,0.6172839506172839,3.0864197530864197,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,citya,test_02,205,27.31707317073171,64.80915832519531,70.86695861816406,101.87687835693359,0.4878048780487805,1.951219512195122,6.341463414634147,11.707317073170733,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,cityb,test_01,160,34.375,62.9251823425293,64.58815002441406,109.19308013916016,0.0,0.0,3.125,6.875000000000001,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,cityb,test_02,186,33.33333333333333,58.15874481201172,53.24020767211914,102.27709579467773,0.0,1.0752688172043012,1.6129032258064515,4.838709677419355,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,cityc,test_01,159,33.33333333333333,61.53498458862305,60.277339935302734,111.3029434204102,0.0,0.0,1.257861635220126,5.660377358490567,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,cityc,test_02,227,35.24229074889868,56.642704010009766,55.625701904296875,95.17734985351562,0.881057268722467,2.2026431718061676,6.607929515418502,11.894273127753303,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,cityd,test_01,140,39.285714285714285,56.245243072509766,51.1116828918457,96.58280715942384,0.7142857142857143,0.7142857142857143,2.857142857142857,7.142857142857142,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
denseuav,native-four-RST-matching-to-tile,cityd,test_02,235,30.21276595744681,57.845523834228516,53.06046676635742,102.61393432617187,0.0,1.702127659574468,4.680851063829787,8.51063829787234,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,citya,test_01,162,19.1358024691358,72.84764099121094,80.56968688964844,113.47146987915039,0.6172839506172839,1.2345679012345678,1.8518518518518516,6.172839506172839,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,citya,test_02,205,30.73170731707317,60.6218376159668,56.148475646972656,103.6062774658203,0.4878048780487805,1.951219512195122,8.292682926829269,14.634146341463413,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,cityb,test_01,160,33.75,62.86736297607422,57.77338409423828,111.60234832763672,0.625,1.25,3.125,6.875000000000001,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,cityb,test_02,186,27.956989247311824,62.55089569091797,61.822906494140625,105.01045989990234,0.0,1.0752688172043012,1.6129032258064515,5.913978494623656,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,cityc,test_01,159,32.70440251572327,63.063899993896484,63.55604934692383,113.3251419067383,0.0,0.0,0.628930817610063,5.031446540880504,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,cityc,test_02,227,34.36123348017621,59.385292053222656,62.14603042602539,102.1135223388672,1.762114537444934,3.0837004405286343,8.370044052863436,12.77533039647577,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,cityd,test_01,140,43.57142857142857,55.622188568115234,45.204383850097656,100.37166748046874,0.7142857142857143,0.7142857142857143,3.571428571428571,7.857142857142857,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
gtauav,native-four-RST-matching-to-tile,cityd,test_02,235,28.936170212765955,60.901611328125,58.640968322753906,102.17442626953124,0.0,2.553191489361702,6.382978723404255,9.787234042553191,,,each UAV independently matches ONLY its official four adjacent RSTs; prediction is retrieved RST centre; no waypoint/temporal/local prior
