pair_current_index,pair_next_index,current_frame_id,next_frame_id,reference_current_x,reference_current_y,search_center_x,search_center_y,search_center_error_m,final_ms_x,final_ms_y,final_error_m,reference_next_x,reference_next_y,provisional_next_x,provisional_next_y,provisional_next_error_m,ms_candidate_count,gru_next_xy_x,gru_next_xy_y,kalman_next_xy_x,kalman_next_xy_y
11,12,11,12,-80.71418762207031,4.9646830558776855,-80.71418762207031,4.9646830558776855,0.0,-81.38468933105469,4.772594451904297,0.6974744249988044,-84.01985931396484,5.2652668952941895,-82.67813873291016,5.083436965942383,1.353985317805851,36,-79.3495101928711,3.79251766204834,-82.67813873291016,5.083436965942383
12,13,12,13,-84.01985931396484,5.2652668952941895,-84.01985931396484,5.2652668952941895,0.0,-83.02679443359375,5.197080612182617,0.9954030469267342,-87.32689666748047,5.565974712371826,-84.53404998779297,4.718751907348633,2.9185234379036364,36,-83.7396469116211,4.589563846588135,-84.53404998779297,4.718751907348633
13,14,13,14,-87.32689666748047,5.565974712371826,-87.32689666748047,5.565974712371826,0.0,-88.45319366455078,5.225813865661621,1.1765433809444543,-90.52931213378906,5.903904438018799,-88.90314483642578,4.56727409362793,2.104994241455366,36,-91.14643859863281,4.726376056671143,-88.90314483642578,4.56727409362793
14,15,14,15,-90.52931213378906,5.903904438018799,-90.52931213378906,5.903904438018799,0.0,-87.89710235595703,3.8179931640625,3.358504750232243,-93.73101806640625,6.241759300231934,-90.89724731445312,3.5951411724090576,3.877479102348025,36,-89.85094451904297,2.6675820350646973,-90.89724731445312,3.5951411724090576
15,16,15,16,-93.73101806640625,6.241759300231934,-93.73101806640625,6.241759300231934,0.0,-92.50254821777344,4.928804397583008,1.798051374513469,-97.24320983886719,6.612377643585205,-94.27943420410156,3.263481378555298,4.472032223403768,36,-95.44429779052734,3.4050183296203613,-94.27943420410156,3.263481378555298
16,17,16,17,-97.24320983886719,6.612377643585205,-97.24320983886719,6.612377643585205,0.0,-95.82901763916016,5.159788608551025,2.027302267155478,-100.48795318603516,6.946656227111816,-97.63168334960938,3.3943023681640625,4.558233793659202,36,-98.5053482055664,4.134446620941162,-97.63168334960938,3.3943023681640625
17,18,17,18,-100.48795318603516,6.946656227111816,-100.48795318603516,6.946656227111816,0.0,-96.0688705444336,5.30503511428833,4.714150111247208,-103.73233032226562,7.28089714050293,-99.636962890625,3.981987953186035,5.258786573564907,36,-98.25460815429688,5.108381271362305,-99.636962890625,3.981987953186035
18,19,18,19,-103.73233032226562,7.28089714050293,-103.73233032226562,7.28089714050293,0.0,-99.83624267578125,4.200925827026367,4.96645972911557,-107.29228973388672,7.647648811340332,-101.81542205810547,4.369813442230225,6.382811625373782,36,-100.96597290039062,4.967615604400635,-101.81542205810547,4.369813442230225
19,20,19,20,-107.29228973388672,7.647648811340332,-107.29228973388672,7.647648811340332,0.0,-108.90025329589844,4.2247443199157715,3.78177497667059,-110.61548614501953,7.9523024559021,-107.9218978881836,4.887078285217285,4.080565759047987,36,-111.7499008178711,5.803744792938232,-107.9218978881836,4.887078285217285
20,21,20,21,-110.61548614501953,7.9523024559021,-110.61548614501953,7.9523024559021,0.0,-112.25946044921875,3.3430213928222656,4.893681991234582,-113.93445587158203,8.25656795501709,-113.66651153564453,5.0163187980651855,3.251308777444633,36,-115.5698471069336,4.922264575958252,-113.66651153564453,5.0163187980651855
21,22,21,22,-113.93445587158203,8.25656795501709,-113.93445587158203,8.25656795501709,0.0,-115.35295104980469,3.897193431854248,4.584351077725415,-117.24945068359375,8.560468673706055,-118.80241394042969,5.511962890625,3.42126911928324,36,-119.85543823242188,6.016299247741699,-118.80241394042969,5.511962890625
22,23,22,23,-117.24945068359375,8.560468673706055,-117.24945068359375,8.560468673706055,0.0,-117.55745697021484,4.316703796386719,4.254927520718457,-120.81004333496094,8.859625816345215,-122.75186920166016,5.994029998779297,3.4615498098732385,36,-122.47760009765625,6.334185600280762,-122.75186920166016,5.994029998779297
23,24,23,24,-120.81004333496094,8.859625816345215,-120.81004333496094,8.859625816345215,0.0,-119.14064025878906,4.784757614135742,4.4035732645330175,-124.06947326660156,9.133479118347168,-126.07402801513672,6.875624656677246,3.0192956976681855,36,-125.15046691894531,7.739871025085449,-126.07402801513672,6.875624656677246
24,25,24,25,-124.06947326660156,9.133479118347168,-124.06947326660156,9.133479118347168,0.0,-120.57709503173828,5.42210054397583,5.096178632823754,-127.31895446777344,9.40649700164795,-128.54945373535156,7.550906181335449,2.226509766414313,36,-126.10000610351562,7.891135215759277,-128.54945373535156,7.550906181335449
25,26,25,26,-127.31895446777344,9.40649700164795,-127.31895446777344,9.40649700164795,0.0,-127.98928833007812,6.5368242263793945,2.9469254018501805,-130.83126831054688,9.741641998291016,-131.62351989746094,7.990370750427246,1.9221377579565349,36,-130.60455322265625,7.910976886749268,-131.62351989746094,7.990370750427246
26,27,26,27,-130.83126831054688,9.741641998291016,-130.83126831054688,9.741641998291016,0.0,-132.18711853027344,6.369978904724121,3.634066845127322,-134.03652954101562,10.047489166259766,-135.0544891357422,8.276524543762207,2.0426838792710407,36,-135.16561889648438,7.992788314819336,-135.0544891357422,8.276524543762207
27,28,27,28,-134.03652954101562,10.047489166259766,-134.03652954101562,10.047489166259766,0.0,-129.80267333984375,5.650232791900635,6.10421182086955,-137.2352752685547,10.352712631225586,-136.60316467285156,8.172739028930664,2.2697684269332097,36,-133.25930786132812,7.401786804199219,-136.60316467285156,8.172739028930664
28,29,28,29,-137.2352752685547,10.352712631225586,-137.2352752685547,10.352712631225586,0.0,-139.03201293945312,6.770140647888184,4.0078782758237095,-140.4192352294922,10.665609359741211,-140.23394775390625,8.487763404846191,2.1857137168123386,36,-141.22763061523438,8.500629425048828,-140.23394775390625,8.487763404846191
29,30,29,30,-140.4192352294922,10.665609359741211,-140.4192352294922,10.665609359741211,0.0,-143.71127319335938,7.117038249969482,4.840441186157453,-143.60858154296875,10.979033470153809,-144.2860870361328,9.033296585083008,2.060316897759299,36,-145.68032836914062,9.383307456970215,-144.2860870361328,9.033296585083008
30,31,30,31,-143.60858154296875,10.979033470153809,-143.60858154296875,10.979033470153809,0.0,-143.79652404785156,7.19068717956543,3.7930054050259874,-147.09031677246094,11.321191787719727,-146.11668395996094,9.345527648925781,2.2025461727040097,36,-143.9137420654297,9.267258644104004,-146.11668395996094,9.345527648925781
31,32,31,32,-147.09031677246094,11.321191787719727,-147.09031677246094,11.321191787719727,0.0,-148.689208984375,7.425718307495117,4.2108395766702715,-150.38534545898438,11.621426582336426,-149.10528564453125,9.615107536315918,2.3798884938169707,36,-149.13186645507812,9.495565414428711,-149.10528564453125,9.615107536315918
32,33,32,33,-150.38534545898438,11.621426582336426,-150.38534545898438,11.621426582336426,0.0,-153.36917114257812,7.573197364807129,5.029053142265607,-153.68882751464844,11.922432899475098,-152.38980102539062,9.89706802368164,2.4061530915324827,36,-152.84487915039062,9.8220796585083,-152.38980102539062,9.89706802368164
33,34,33,34,-153.68882751464844,11.922432899475098,-153.68882751464844,11.922432899475098,0.0,-157.9677734375,7.437360763549805,6.198810391933398,-156.9862060546875,12.222880363464355,-156.79139709472656,9.963343620300293,2.2679190515954315,36,-158.69723510742188,9.585143089294434,-156.79139709472656,9.963343620300293
34,35,34,35,-156.9862060546875,12.222880363464355,-156.9862060546875,12.222880363464355,0.0,-157.99325561523438,7.426774501800537,4.900691813783406,-161.97410583496094,12.701958656311035,-159.97447204589844,9.923768997192383,3.422991830605832,36,-159.7074737548828,9.481746673583984,-159.97447204589844,9.923768997192383
35,36,35,36,-161.97410583496094,12.701958656311035,-161.97410583496094,12.701958656311035,0.0,-161.8661651611328,12.129648208618164,0.5824005817346719,-166.95358276367188,13.180227279663086,-162.9781036376953,11.773256301879883,4.217108205085518,36,-162.4817352294922,14.506803512573242,-162.9781036376953,11.773256301879883
36,37,36,37,-166.95358276367188,13.180227279663086,-166.95358276367188,13.180227279663086,0.0,-167.194091796875,11.910478591918945,1.292325936085889,-170.4643096923828,13.542064666748047,-166.705322265625,13.027905464172363,3.7939881602499215,36,-167.46095275878906,14.054262161254883,-166.705322265625,13.027905464172363
37,38,37,38,-170.4643096923828,13.542064666748047,-170.4643096923828,13.542064666748047,0.0,-172.6991729736328,11.863723754882812,2.7948957229778975,-173.6732940673828,13.872800827026367,-171.07833862304688,14.017497062683105,2.5989864868255768,36,-172.6179962158203,14.393404006958008,-171.07833862304688,14.017497062683105
38,39,38,39,-173.6732940673828,13.872800827026367,-173.6732940673828,13.872800827026367,0.0,-177.55889892578125,12.10842227935791,4.267429762173268,-176.89031982421875,14.204366683959961,-176.487548828125,14.625844955444336,0.5829823398935924,36,-179.05599975585938,14.328107833862305,-176.487548828125,14.625844955444336
39,40,39,40,-176.89031982421875,14.204366683959961,-176.89031982421875,14.204366683959961,0.0,-181.65118408203125,12.067343711853027,5.218495536515224,-180.07899475097656,14.495210647583008,-181.3618621826172,14.8984375,1.3447456048168844,36,-182.54579162597656,14.178691864013672,-181.3618621826172,14.8984375
40,41,40,41,-180.07899475097656,14.495210647583008,-180.07899475097656,14.495210647583008,0.0,-181.76336669921875,12.16914176940918,2.871881837059811,-183.2713623046875,14.786392211914062,-184.1824188232422,14.967247009277344,0.9288339128877139,36,-182.1320343017578,14.101356506347656,-184.1824188232422,14.967247009277344
41,42,41,42,-183.2713623046875,14.786392211914062,-183.2713623046875,14.786392211914062,0.0,-185.98605346679688,12.399600982666016,3.614736570989669,-186.7760009765625,15.10605525970459,-187.60379028320312,15.057371139526367,0.8292196812341674,36,-186.89999389648438,14.431090354919434,-187.60379028320312,15.057371139526367
42,43,42,43,-186.7760009765625,15.10605525970459,-186.7760009765625,15.10605525970459,0.0,-190.37680053710938,12.525959014892578,4.42974650603481,-190.19520568847656,15.40483283996582,-191.42555236816406,15.216474533081055,1.2446814066220124,36,-191.4878692626953,14.841211318969727,-191.42555236816406,15.216474533081055
43,44,43,44,-190.19520568847656,15.40483283996582,-190.19520568847656,15.40483283996582,0.0,-190.13711547851562,12.402364730834961,3.0030300063171436,-193.5978240966797,15.702159881591797,-193.1730499267578,15.250968933105469,0.619682473068918,36,-190.0782928466797,14.77779483795166,-193.1730499267578,15.250968933105469
44,45,44,45,-193.5978240966797,15.702159881591797,-193.5978240966797,15.702159881591797,0.0,-195.51419067382812,12.581847190856934,3.661804493138958,-196.71273803710938,15.974347114562988,-196.4196014404297,15.260395050048828,0.7717879337855583,36,-196.33303833007812,14.854167938232422,-196.4196014404297,15.260395050048828
45,46,45,46,-196.71273803710938,15.974347114562988,-196.71273803710938,15.974347114562988,0.0,-200.8094024658203,12.616888046264648,5.296715098696953,-199.96063232421875,16.28047752380371,-200.19317626953125,15.314011573791504,0.9940488514326149,36,-200.91952514648438,15.071617126464844,-200.19317626953125,15.314011573791504
46,47,46,47,-199.96063232421875,16.28047752380371,-199.96063232421875,16.28047752380371,0.0,-200.97105407714844,12.684890747070312,3.7348622983737396,-203.51315307617188,16.61532211303711,-202.9085235595703,15.284899711608887,1.4613694326103437,36,-201.87725830078125,14.973869323730469,-202.9085235595703,15.284899711608887
47,48,47,48,-203.51315307617188,16.61532211303711,-203.51315307617188,16.61532211303711,0.0,-205.95892333984375,12.587655067443848,4.712100806733611,-206.75160217285156,16.920562744140625,-206.44618225097656,15.228349685668945,1.7195541177701292,36,-206.88351440429688,14.948041915893555,-206.44618225097656,15.228349685668945
48,49,48,49,-206.75160217285156,16.920562744140625,-206.75160217285156,16.920562744140625,0.0,-210.5332489013672,12.530745506286621,5.794078646433191,-210.1930389404297,17.253925323486328,-209.71823120117188,15.02524471282959,2.2786969200787555,36,-209.6621856689453,14.599267959594727,-209.71823120117188,15.02524471282959
49,50,49,50,-210.1930389404297,17.253925323486328,-210.1930389404297,17.253925323486328,0.0,-213.7076416015625,12.276460647583008,6.09324104771075,-213.3181915283203,17.556650161743164,-213.75144958496094,14.849947929382324,2.7411584263429876,36,-214.7169647216797,14.563916206359863,-213.75144958496094,14.849947929382324
50,51,50,51,-213.3181915283203,17.556650161743164,-213.3181915283203,17.556650161743164,0.0,-213.1103973388672,17.139291763305664,0.4662257585299167,-216.74961853027344,17.889041900634766,-216.0562744140625,16.69352149963379,1.382025720706334,36,-214.50225830078125,19.408920288085938,-216.0562744140625,16.69352149963379
51,52,51,52,-216.74961853027344,17.889041900634766,-216.74961853027344,17.889041900634766,0.0,-216.69357299804688,16.890899658203125,0.999714478143146,-219.85296630859375,18.18168067932129,-218.9307861328125,17.93561553955078,0.954444513638282,36,-218.5184326171875,19.154129028320312,-218.9307861328125,17.93561553955078
52,53,52,53,-219.85296630859375,18.18168067932129,-219.85296630859375,18.18168067932129,0.0,-220.43331909179688,16.7993221282959,1.4992413136532194,-223.26548767089844,18.50347328186035,-221.7887420654297,18.828449249267578,1.512080342661569,36,-221.42515563964844,19.254728317260742,-221.7887420654297,18.828449249267578
53,54,53,54,-223.26548767089844,18.50347328186035,-223.26548767089844,18.50347328186035,0.0,-220.5812530517578,16.81100082397461,3.173259918647513,-226.6659393310547,18.824125289916992,-223.3878631591797,19.482101440429688,3.343458688732098,36,-221.34292602539062,19.448543548583984,-223.3878631591797,19.482101440429688
54,55,54,55,-226.6659393310547,18.824125289916992,-226.6659393310547,18.824125289916992,0.0,-224.404296875,16.961790084838867,2.9297301949330525,-229.90402221679688,19.161306381225586,-226.23902893066406,19.930828094482422,3.7449084707870135,36,-226.46926879882812,19.598237991333008,-226.23902893066406,19.930828094482422
55,56,55,56,-229.90402221679688,19.161306381225586,-229.90402221679688,19.161306381225586,0.0,-229.5116729736328,18.09854507446289,1.1328722451200597,-233.15289306640625,19.499608993530273,-229.33541870117188,20.570409774780273,3.964810820499158,36,-229.9087371826172,20.603744506835938,-229.33541870117188,20.570409774780273
56,57,56,57,-233.15289306640625,19.499608993530273,-233.15289306640625,19.499608993530273,0.0,-228.3546142578125,17.05589485168457,5.384720822109215,-236.7150115966797,19.870529174804688,-230.94619750976562,20.62436866760254,5.817859567768876,36,-229.14154052734375,19.74932861328125,-230.94619750976562,20.62436866760254
57,58,57,58,-236.7150115966797,19.870529174804688,-236.7150115966797,19.870529174804688,0.0,-233.08917236328125,18.479625701904297,3.88346785970706,-241.94894409179688,20.40029525756836,-233.99749755859375,21.206804275512695,7.9922436628529745,36,-234.71615600585938,21.35565948486328,-233.99749755859375,21.206804275512695
58,59,58,59,-241.94894409179688,20.40029525756836,-241.94894409179688,20.40029525756836,0.0,-240.3547821044922,20.73047637939453,1.6279963190921594,-246.72323608398438,20.88353729248047,-239.14463806152344,22.47513198852539,7.743921594549312,36,-242.31622314453125,23.763029098510742,-239.14463806152344,22.47513198852539
59,60,59,60,-246.72323608398438,20.88353729248047,-246.72323608398438,20.88353729248047,0.0,-244.84300231933594,18.892742156982422,2.7383469979618584,-250.1058349609375,21.189523696899414,-244.71031188964844,22.610721588134766,5.579558464508134,36,-248.134521484375,21.72877311706543,-244.71031188964844,22.610721588134766
60,61,60,61,-250.1058349609375,21.189523696899414,-250.1058349609375,21.189523696899414,0.0,-249.0644073486328,16.08112335205078,5.213475381635582,-253.18551635742188,21.468109130859375,-249.47958374023438,22.096179962158203,3.758777664648788,36,-250.87142944335938,20.419273376464844,-249.47958374023438,22.096179962158203
61,62,61,62,-253.18551635742188,21.468109130859375,-253.18551635742188,21.468109130859375,0.0,-252.9582977294922,15.300395965576172,6.171897114671144,-256.56805419921875,21.774091720581055,-254.47665405273438,21.52867317199707,2.1057504212759723,36,-255.9304962158203,20.269760131835938,-254.47665405273438,21.52867317199707
62,63,62,63,-256.56805419921875,21.774091720581055,-256.56805419921875,21.774091720581055,0.0,-252.6568603515625,14.5867919921875,8.182586064302054,-259.78179931640625,22.02918815612793,-257.7033386230469,20.380508422851562,2.6529500026868518,36,-256.28253173828125,18.67430877685547,-257.7033386230469,20.380508422851562
63,64,63,64,-259.78179931640625,22.02918815612793,-259.78179931640625,22.02918815612793,0.0,-257.9659118652344,14.52143383026123,7.724236030371782,-262.99114990234375,22.283937454223633,-260.7385559082031,19.411060333251953,3.650698926868791,36,-259.48272705078125,18.18857765197754,-260.7385559082031,19.411060333251953
64,65,64,65,-262.99114990234375,22.283937454223633,-262.99114990234375,22.283937454223633,0.0,-260.74444580078125,13.94555377960205,8.635758312109798,-266.5252380371094,22.56446075439453,-264.2742919921875,18.326927185058594,4.798275611967116,36,-264.0086669921875,17.314563751220703,-264.2742919921875,18.326927185058594
65,66,65,66,-266.5252380371094,22.56446075439453,-266.5252380371094,22.56446075439453,0.0,-261.0099182128906,13.877615928649902,10.28980202870719,-269.7339172363281,22.84096336364746,-266.7877197265625,17.770484924316406,5.864284386885603,36,-265.3181457519531,17.736501693725586,-266.7877197265625,17.770484924316406
66,67,66,67,-269.7339172363281,22.84096336364746,-269.7339172363281,22.84096336364746,0.0,-264.92425537109375,19.78425407409668,5.698799780542904,-272.9421081542969,23.117422103881836,-270.53179931640625,19.909324645996094,4.012664699835587,36,-270.7966003417969,23.897449493408203,-270.53179931640625,19.909324645996094
67,68,67,68,-272.9421081542969,23.117422103881836,-272.9421081542969,23.117422103881836,0.0,-268.10919189453125,19.1707820892334,6.239635163944377,-276.4721984863281,23.421621322631836,-274.71087646484375,21.32591438293457,2.737561477019481,36,-275.09259033203125,23.249425888061523,-274.71087646484375,21.32591438293457
68,69,68,69,-276.4721984863281,23.421621322631836,-276.4721984863281,23.421621322631836,0.0,-270.5066833496094,19.507680892944336,7.134865137727755,-279.8583984375,23.757869720458984,-278.1907653808594,22.593761444091797,2.033752219594889,36,-278.0953674316406,23.86428451538086,-278.1907653808594,22.593761444091797
69,70,69,70,-279.8583984375,23.757869720458984,-279.8583984375,23.757869720458984,0.0,-270.7611999511719,20.558837890625,9.643278744697868,-282.95196533203125,24.0650577545166,-279.8424377441406,24.005355834960938,3.1101006638132342,36,-278.5259704589844,25.18734359741211,-279.8424377441406,24.005355834960938
70,71,70,71,-282.95196533203125,24.0650577545166,-282.95196533203125,24.0650577545166,0.0,-274.8970642089844,22.293521881103516,8.247409984525522,-286.3374328613281,24.40123176574707,-282.3352355957031,25.391666412353516,4.1229290246346295,36,-282.00677490234375,26.24022102355957,-282.3352355957031,25.391666412353516
71,72,71,72,-286.3374328613281,24.40123176574707,-286.3374328613281,24.40123176574707,0.0,-279.2168884277344,21.924636840820312,7.538943921595114,-289.56787109375,24.758047103881836,-285.7300109863281,26.382768630981445,4.167600058158308,36,-286.7713317871094,26.447303771972656,-285.7300109863281,26.382768630981445
72,73,72,73,-289.56787109375,24.758047103881836,-289.56787109375,24.758047103881836,0.0,-280.11199951171875,22.249061584472656,9.783072917671172,-292.791015625,25.11405372619629,-288.16009521484375,27.304460525512695,5.12282205348705,36,-286.9252014160156,27.255386352539062,-288.16009521484375,27.304460525512695
73,74,73,74,-292.791015625,25.11405372619629,-292.791015625,25.11405372619629,0.0,-292.9485168457031,22.470218658447266,2.6485223238595625,-296.3150329589844,25.5032958984375,-292.12261962890625,27.418895721435547,4.609322315925293,36,-295.06317138671875,26.052799224853516,-292.12261962890625,27.418895721435547
74,75,74,75,-296.3150329589844,25.5032958984375,-296.3150329589844,25.5032958984375,0.0,-298.72283935546875,23.140552520751953,3.373438588702628,-299.6627502441406,25.858945846557617,-297.0594787597656,27.575260162353516,3.1181336167595446,36,-300.4566650390625,26.662826538085938,-297.0594787597656,27.575260162353516
75,76,75,76,-299.6627502441406,25.858945846557617,-299.6627502441406,25.858945846557617,0.0,-298.73638916015625,23.131996154785156,2.879999909614343,-303.0234375,26.21597671508789,-300.0274353027344,26.82464599609375,3.0572058255309935,36,-298.9207458496094,24.76789093017578,-300.0274353027344,26.82464599609375
76,77,76,77,-303.0234375,26.21597671508789,-303.0234375,26.21597671508789,0.0,-304.61273193359375,23.20949363708496,3.400705411377182,-306.37432861328125,26.571962356567383,-304.5887756347656,26.417150497436523,1.7922516985104444,36,-306.4087219238281,25.394012451171875,-304.5887756347656,26.417150497436523
77,78,77,78,-306.37432861328125,26.571962356567383,-306.37432861328125,26.571962356567383,0.0,-310.54852294921875,23.514183044433594,5.1743514256268,-309.93170166015625,26.87871551513672,-309.4640197753906,26.50862693786621,0.5963991116392076,36,-311.1595153808594,26.465360641479492,-309.4640197753906,26.50862693786621
78,79,78,79,-309.93170166015625,26.87871551513672,-309.93170166015625,26.87871551513672,0.0,-315.26678466796875,23.42792510986328,6.3538228745674745,-313.1907958984375,27.159746170043945,-314.1726379394531,26.437700271606445,1.2187551324840216,36,-315.17230224609375,26.164743423461914,-314.1726379394531,26.437700271606445
79,80,79,80,-313.1907958984375,27.159746170043945,-313.1907958984375,27.159746170043945,0.0,-315.329833984375,23.57186508178711,4.177125164100571,-316.4438171386719,27.44025421142578,-317.56866455078125,26.621326446533203,1.3913749978496495,36,-316.464111328125,26.790266036987305,-317.56866455078125,26.621326446533203
80,81,80,81,-316.4438171386719,27.44025421142578,-316.4438171386719,27.44025421142578,0.0,-319.7727966308594,23.508710861206055,5.151615045212704,-321.592041015625,27.871477127075195,-320.99932861328125,26.67068099975586,1.3391113961419394,36,-320.1412353515625,26.60072898864746,-320.99932861328125,26.67068099975586
81,82,81,82,-321.592041015625,27.871477127075195,-321.592041015625,27.871477127075195,0.0,-324.0366516113281,27.96953582763672,2.446576480182012,-326.2784423828125,28.264019012451172,-324.34698486328125,28.483797073364258,1.9439214350926133,36,-323.6094055175781,31.01302146911621,-324.34698486328125,28.483797073364258
82,83,82,83,-326.2784423828125,28.264019012451172,-326.2784423828125,28.264019012451172,0.0,-328.401123046875,27.929384231567383,2.1488959114303228,-329.66363525390625,28.562585830688477,-328.0599060058594,29.567333221435547,1.8924758440344862,36,-328.0282897949219,30.435274124145508,-328.0599060058594,29.567333221435547
83,84,83,84,-329.66363525390625,28.562585830688477,-329.66363525390625,28.562585830688477,0.0,-333.1329345703125,28.005672454833984,3.5137145949866957,-332.744140625,28.834280014038086,-332.4698791503906,30.616374969482422,1.8030756464095061,36,-333.4869384765625,31.239181518554688,-332.4698791503906,30.616374969482422
84,85,84,85,-332.744140625,28.834280014038086,-332.744140625,28.834280014038086,0.0,-333.2164306640625,27.974977493286133,0.980540005898953,-336.1232604980469,29.13231086730957,-334.79925537109375,31.040334701538086,2.3224005959743996,36,-332.4675598144531,30.576313018798828,-334.79925537109375,31.040334701538086
85,86,85,86,-336.1232604980469,29.13231086730957,-336.1232604980469,29.13231086730957,0.0,-337.64501953125,28.011432647705078,1.890004904310845,-339.6257019042969,29.462242126464844,-338.1589050292969,31.299598693847656,2.3510364157567865,36,-337.9235534667969,30.69296646118164,-338.1589050292969,31.299598693847656
86,87,86,87,-339.6257019042969,29.462242126464844,-339.6257019042969,29.462242126464844,0.0,-341.9324951171875,28.002832412719727,2.729683432123926,-342.8448791503906,29.765491485595703,-341.8741760253906,31.347253799438477,1.855865451582633,36,-342.2110900878906,30.578548431396484,-341.8741760253906,31.347253799438477
87,88,87,88,-342.8448791503906,29.765491485595703,-342.8448791503906,29.765491485595703,0.0,-346.68902587890625,28.030433654785156,4.217569175083485,-346.0498046875,30.067394256591797,-346.2247619628906,31.4506893157959,1.3943153405993172,36,-347.4362487792969,30.93545913696289,-346.2247619628906,31.4506893157959
88,89,88,89,-346.0498046875,30.067394256591797,-346.0498046875,30.067394256591797,0.0,-346.6361083984375,28.013751983642578,2.1356962861566053,-349.5847473144531,30.437746047973633,-348.6358642578125,31.427661895751953,1.3712448508061301,36,-346.6943664550781,30.848499298095703,-348.6358642578125,31.427661895751953
89,90,89,90,-349.5847473144531,30.437746047973633,-349.5847473144531,30.437746047973633,0.0,-351.42767333984375,27.98910140991211,3.0646756596040525,-352.80938720703125,30.775583267211914,-352.3421325683594,31.272001266479492,0.6817314187839737,36,-352.7940979003906,30.63034439086914,-352.3421325683594,31.272001266479492
90,91,90,91,-352.80938720703125,30.775583267211914,-352.80938720703125,30.775583267211914,0.0,-356.27606201171875,27.97325897216797,4.45767379426183,-356.03759765625,31.113798141479492,-356.272216796875,31.15911102294922,0.2389548040419004,36,-356.9347839355469,30.734413146972656,-356.272216796875,31.15911102294922
