route,frame_index,patch_count_N,active_ms_modes_K
route_C,783,36,1
route_C,788,36,1
route_C,793,36,9
route_C,798,36,1
route_C,803,36,1
route_C,808,36,1
route_C,813,36,1
route_C,818,36,1
route_C,823,36,3
route_C,828,36,1
route_C,833,36,1
route_C,838,36,1
route_C,842,36,1
route_C,847,36,1
route_C,852,36,9
route_C,857,36,2
route_C,862,36,1
route_C,867,36,1
route_C,872,36,1
route_C,877,36,13
route_C,882,36,1
route_C,887,36,1
route_C,892,36,1
route_C,897,36,1
route_C,902,36,1
route_C,907,36,5
route_C,911,36,6
route_C,916,36,3
route_C,921,36,2
route_C,926,36,1
route_C,931,36,1
route_C,936,36,1
route_C,941,36,1
route_C,946,36,1
route_C,951,36,1
route_C,956,36,1
route_C,961,36,1
route_C,966,36,1
route_C,971,36,4
route_C,976,36,1
route_C,980,36,1
route_C,985,36,1
route_C,990,36,1
route_C,995,36,1
route_C,1000,36,1
route_C,1005,36,1
route_C,1010,36,1
route_C,1015,36,4
route_C,1020,36,7
route_C,1025,36,4
route_C,1030,36,4
route_C,1035,36,1
route_C,1040,36,1
route_C,1045,36,1
route_C,1049,36,1
route_C,1054,36,1
route_C,1059,36,2
route_C,1064,36,1
route_C,1069,36,2
route_C,1074,36,1
route_C,1079,36,1
route_C,1084,36,1
route_C,1089,36,1
route_C,1094,36,1
route_C,1099,36,1
route_C,1104,36,1
route_C,1109,36,1
route_C,1114,36,1
route_C,1118,36,3
route_C,1123,36,1
route_C,1128,36,1
route_C,1133,36,1
route_C,1138,36,1
route_C,1143,36,1
route_C,1148,36,1
route_C,1153,36,1
route_C,1158,36,8
route_C,1163,36,4
route_C,1168,36,1
route_C,1173,36,1
route_C,1178,36,1
route_C,1183,36,1
route_C,1187,36,1
route_C,1192,36,1
route_C,1197,36,3
route_C,1202,36,1
route_C,1207,36,1
route_C,1212,36,1
route_C,1217,36,1
route_C,1222,36,1
route_C,1227,36,1
route_C,1232,36,1
route_C,1237,36,1
route_C,1242,36,1
route_C,1247,36,1
route_C,1252,36,1
route_C,1257,36,1
